iter	Passed	Remaining
613	42454	26689
614	42518	26617
615	42599	26555
616	42659	26480
617	42731	26413
618	42787	26336
619	42849	26262
620	42907	26186
621	42970	26113
622	43034	26041
623	43096	25968
624	43153	25892
625	43209	25815
626	43272	25742
627	43329	25666
628	43392	25593
629	43447	25517
630	43503	25440
631	43575	25372
632	43641	25302
633	43714	25235
634	43778	25164
635	43848	25095
636	43929	25033
637	44004	24968
638	44057	24889
639	44127	24821
640	44180	24744
641	44250	24675
642	44311	24602
643	44372	24528
644	44434	24455
645	44492	24381
646	44558	24311
647	44625	24241
648	44693	24171
649	44784	24114
650	44859	24049
651	44936	23984
652	45017	23921
653	45084	23852
654	45159	23786
655	45228	23717
656	45304	23651
657	45402	23598
658	45464	23525
659	45529	23454
660	45586	23379
661	45641	23303
662	45703	23230
663	45783	23167
664	45846	23095
665	45914	23026
666	45973	22952
667	46030	22877
668	46087	22802
669	46146	22728
670	46234	22669
671	46320	22609
672	46383	22537
673	46445	22464
674	46500	22389
675	46551	22311
676	46614	22240
677	46681	22170
678	46752	22102
679	46831	22038
680	46907	21972
681	46976	21904
682	47047	21836
683	47112	21765
684	47181	21696
685	47253	21629
686	47336	21566
687	47410	21499
688	47469	21426
689	47528	21353
690	47598	21285
691	47658	21212
692	47708	21134
693	47774	21064
694	47840	20994
695	47900	20922
696	47962	20850
697	48027	20779
698	48090	20708
699	48150	20635
700	48214	20565
701	48272	20491
702	48321	20414
703	48388	20345
704	48466	20280
705	48527	20208
706	48620	20149
707	48680	20077
708	48741	20005
709	48809	19936
710	48875	19866
711	48923	19789
712	48979	19715
713	49046	19645
714	49119	19578
715	49170	19503
716	49224	19428
717	49273	19352
718	49330	19279
719	49381	19203
720	49434	19129
721	49499	19059
722	49566	18990
723	49625	18917
724	49689	18847
725	49751	18776
726	49817	18707
727	49885	18638
728	49947	18567
729	50012	18497
730	50090	18432
731	50149	18360
732	50197	18284
733	50264	18215
734	50328	18145
735	50393	18076
736	50448	18002
737	50518	17934
738	50588	17866
739	50655	17798
740	50722	17729
741	50788	17659
742	50855	17590
743	50915	17519
744	50982	17450
745	51048	17381
746	51113	17311
747	51172	17240
748	51221	17164
749	51294	17098
750	51360	17028
751	51418	16957
752	51475	16885
753	51542	16816
754	51609	16747
755	51664	16674
756	51727	16604
757	51785	16533
758	51847	16462
759	51906	16391
760	51970	16321
761	52030	16251
762	52099	16182
763	52173	16116
764	52243	16048
765	52308	15979
766	52372	15909
767	52436	15840
768	52499	15770
769	52559	15699
770	52624	15630
771	52694	15562
772	52765	15495
773	52821	15423
774	52888	15354
775	52950	15284
776	53012	15214
777	53084	15147
778	53147	15077
779	53208	15007
780	53268	14937
781	53325	14865
782	53385	14795
783	53448	14725
784	53515	14657
785	53574	14586
786	53631	14515
787	53686	14443
788	53746	14373
789	53806	14303
790	53877	14235
791	53935	14165
792	53991	14093
793	54061	14026
794	54121	13955
795	54180	13885
796	54235	13813
797	54301	13745
798	54368	13677
799	54427	13606
800	54497	13539
801	54562	13470
802	54619	13399
803	54678	13329
804	54736	13259
805	54804	13191
806	54899	13129
807	54957	13059
808	55026	12991
809	55095	12923
810	55158	12854
811	55220	12785
812	55286	12716
813	55338	12644
814	55407	12577
815	55477	12509
816	55545	12441
817	55610	12372
818	55665	12302
819	55729	12233
820	55820	12170
821	55919	12109
822	55998	12043
823	56096	11981
824	56167	11914
825	56229	11845
826	56282	11773
827	56342	11703
828	56404	11634
829	56471	11566
830	56541	11498
831	56608	11430
832	56666	11360
833	56736	11292
834	56818	11227
835	56901	11162
836	56992	11098
837	57076	11033
838	57211	10978
839	57301	10914
840	57406	10853
841	57504	10790
842	57581	10724
843	57651	10655
844	57714	10586
845	57813	10523
846	57949	10467
847	58069	10408
848	58232	10357
849	58350	10297
850	58477	10238
851	58685	10194
852	58837	10139
853	58962	10080
854	59124	10026
855	59282	9972
856	59415	9914
857	59547	9855
858	59709	9801
859	59861	9744
860	60019	9689
861	60132	9626
862	60231	9561
863	60362	9501
864	60496	9441
865	60747	9399
866	61055	9366
867	61215	9309
868	61455	9264
869	61716	9222
870	61841	9159
871	61924	9089
872	62028	9023
873	62169	8962
874	62367	8909
875	62501	8847
876	62562	8774
877	62624	8701
878	62673	8627
879	62741	8555
880	62818	8485
881	62883	8413
882	62947	8340
883	63012	8268
884	63081	8197
885	63142	8124
886	63205	8052
887	63283	7981
888	63332	7907
889	63402	7836
890	63462	7763
891	63525	7691
892	63587	7619
893	63649	7546
894	63714	7474
895	63774	7402
896	63833	7329
897	63897	7257
898	63954	7185
899	64013	7112
900	64091	7042
901	64150	6969
902	64211	6897
903	64280	6826
904	64337	6753
905	64407	6682
906	64501	6613
907	64566	6542
908	64609	6468
909	64650	6393
910	64690	6319
911	64765	6249
912	64842	6178
913	64907	6107
914	64950	6033
915	65018	5962
916	65068	5889
917	65124	5817
918	65164	5743
919	65240	5673
920	65301	5601
921	65369	5530
922	65455	5460
923	65519	5389
924	65591	5318
925	65639	5245
926	65703	5174
927	65777	5103
928	65838	5031
929	65899	4960
930	65963	4888
931	66044	4818
932	66109	4747
933	66189	4677
934	66256	4606
935	66301	4533
936	66356	4461
937	66417	4390
938	66493	4319
939	66560	4248
940	66625	4177
941	66683	4105
942	66746	4034
943	66794	3962
944	66851	3890
945	66893	3818
946	66963	3747
947	67025	3676
948	67090	3605
949	67150	3534
950	67209	3462
951	67274	3391
952	67333	3320
953	67396	3249
954	67460	3178
955	67521	3107
956	67572	3036
957	67630	2965
958	67693	2894
959	67737	2822
960	67772	2750
961	67818	2678
962	67853	2607
963	67924	2536
964	67989	2465
965	68061	2395
966	68123	2324
967	68195	2254
968	68258	2183
969	68329	2113
970	68398	2042
971	68465	1972
972	68546	1902
973	68617	1831
974	68679	1761
975	68741	1690
976	68804	1619
977	68864	1549
978	68931	1478
979	68973	1407
980	69038	1337
981	69108	1266
982	69147	1195
983	69183	1124
984	69218	1054
985	69256	983
986	69326	913
987	69389	842
988	69453	772
989	69511	702
990	69582	631
991	69653	561
992	69711	491
993	69770	421
994	69831	350
995	69885	280
996	69945	210
997	70008	140
998	70080	70
999	70176	0
